title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
Blue Trees,Conveyance Space,,2021,2021‑03‑22,134,8,19,-30,11,13,105,99,7,7
White,58918012,,2020,2021‑03‑10,72,12,6,-20,30,3,322,91,4,7
In lichter Höhe,Hellbach,,2020,2021‑03‑23,77,7,9,-25,14,3,518,99,5,7
Purity,Kuroi Ame,hardvapour,2019,2021‑03‑18,72,36,21,-16,10,4,147,52,4,7
Efterdyningar,Lisa & Kroffe,nordic ambient,2021,2021‑04‑01,110,31,42,-11,8,23,158,59,3,7
No Whisper,Mordente,,2020,2021‑04‑05,93,39,52,-17,10,90,80,10,4,7
Ex Nihilo,Macrowave,,2021,2021‑04‑01,121,46,28,-9,10,5,214,56,4,6
Ship Of Theseus,Johnny Jewel,,2018,2021‑04‑05,65,33,16,-11,16,3,135,66,3,6
Self Destruction,VHS Glitch,cyberpunk,2019,2021‑04‑01,110,45,21,-11,23,4,242,34,4,6
Leaf,Roborg,cyberpunk,2016,2021‑04‑05,88,36,39,-13,21,4,213,80,3,6
Odyssey,Krell,,2021,2021‑03‑22,100,32,39,-18,13,5,158,99,4,6
Photos in the Wind,Krapenitskiy,,2021,2021‑04‑05,108,5,16,-22,12,7,217,99,4,6
SLOW DIVE,Tineidae,abstract idm,2021,2021‑04‑01,84,57,8,-10,11,3,342,84,4,5
The Arrival,Frieder Nagel,,2021,2021‑03‑10,101,20,14,-19,10,3,244,6,4,5
Mithra,Yith,modular synth,2020,2021‑02‑10,160,18,27,-24,35,8,333,59,4,5
Exploring the Universe,Starlight Maker,,2021,2021‑03‑22,105,34,57,-19,10,13,210,46,3,5
Somewhere. In Between.,Manne Skafvenstedt,,2021,2021‑04‑01,77,42,11,-15,11,4,224,72,4,4
Sunrise Back on Earth,Sunbeam42,,2020,2021‑03‑05,75,1,13,-35,12,4,135,85,5,4
Exoplanet Travel Bureau,Zamek UFO,,2021,2021‑03‑22,116,23,17,-18,11,6,475,79,4,4
Kazuhiko,Neontenic,,2020,2021‑04‑01,106,79,56,-13,46,95,73,4,3,4
Six,The Inner Urge,,2021,2021‑04‑01,116,19,30,-19,8,3,372,98,4,4
Brass Orchids,Richard Griffiths,,2021,2021‑03‑15,83,14,21,-21,9,3,225,69,4,4
Panning,Aatom,,2021,2021‑03‑22,172,7,49,-32,11,6,180,94,4,4
"50°21'08""N 4°10'22""W Veering SW",Echoflex,,2020,2021‑03‑18,120,24,60,-19,7,7,540,99,4,4
The Body,Destryur,darksynth,2018,2020‑09‑24,105,20,18,-14,13,9,128,68,3,4
Birth of a Star,Kyle Dixon & Michael Stein,horror synth,2018,2021‑03‑22,82,16,16,-38,16,17,132,96,5,4
wrm-a,58918012,,2021,2021‑04‑05,64,33,9,-12,7,4,393,66,4,4
Unveiled,Philms,,2021,2021‑02‑25,123,31,17,-16,11,3,206,3,4,3
"Evolution, Pt. 2",Compilerbau,synthwave,2019,2021‑04‑01,106,51,25,-11,7,3,104,3,4,3
Dawn of a New Dark Age,Xetrovoid,cyberpunk,2020,2021‑04‑01,120,39,31,-9,50,4,99,73,3,3
Aether,Infinite Rift,,2020,2021‑03‑15,104,36,35,-12,11,4,93,32,3,3
Space,opeNWave,,2021,2021‑04‑05,69,10,29,-24,8,4,283,99,5,3
Shangri Lala,Paw Paw,,2019,2021‑04‑05,137,32,24,-15,9,4,222,89,4,3
Departure,Dane Whisper,,2020,2021‑04‑05,80,12,41,-20,10,5,102,45,3,3
"Faraway, A Hum",Life Patterns,,2021,2021‑04‑05,100,52,40,-15,11,6,321,20,3,3
Glow,Ymir,,2020,2021‑04‑05,78,9,16,-25,8,6,211,99,4,3
Sexpionage,Kami Hami Who,,2021,2021‑04‑05,126,0,46,-43,9,12,134,86,5,3
Magnetmelodien,Europaweite Aussichten,horror synth,2019,2021‑04‑05,141,51,50,-16,10,13,196,94,4,3
Artificial Landscapes,Fleursonseaux,,2017,2021‑04‑05,78,63,18,-8,16,17,404,7,4,3
The Theory of Truth I,Nugae,,2021,2021‑04‑05,85,17,13,-21,8,4,219,92,3,3
starscapes,Blue Crystal Star,,2021,2021‑04‑05,69,19,6,-13,9,3,223,0,4,2
Mørke,Cosmic Umpire,,2021,2021‑04‑05,79,12,10,-25,11,4,245,88,4,2
Kevätesikko,Utra,,2021,2021‑04‑05,110,43,22,-14,10,4,357,8,3,2
Lost in Space,Alonewolf,,2018,2021‑04‑05,95,74,71,-13,6,4,195,88,5,2
Home,Nikita Andvari,,2021,2021‑04‑05,100,53,60,-14,11,32,292,97,3,2
Will to Power,RoBOT LIKE ME,deep neo-synthpop,2021,2021‑04‑05,75,47,42,-14,9,4,115,72,4,2
Universe,Vorstell,,2021,2021‑04‑05,52,35,8,-15,10,4,154,75,6,2
Tangential,Subterrene,,2016,2021‑04‑05,68,15,27,-18,10,8,336,97,6,2
An Empty Boat,Bryan Andrew Medina,,2020,2021‑04‑05,161,15,22,-15,10,17,200,68,4,2
Continuum,Noble Lummox,,2016,2021‑04‑05,69,40,11,-18,43,4,314,88,7,2
Calm,Parag Jain,,2021,2021‑04‑05,77,48,45,-12,24,5,133,65,3,2
agitation fractal,Jamie Unie,,2021,2021‑04‑05,85,11,15,-14,21,8,186,93,4,2
"At Sonrise, Someone Dies",Micah Vaultz,,2017,2021‑04‑05,79,3,16,-30,10,9,288,55,3,2
Downsview Park,Kilometre Club,,2021,2021‑04‑05,136,39,26,-17,65,46,151,92,4,2
"goodbye, coldest winter (bonus and final track)",Coldest Winter,,2020,2021‑04‑05,135,7,17,-26,8,4,398,98,4,2
Find Yourself - Original Mix,Atlantic Brain,,2019,2021‑04‑15,180,74,62,-14,7,76,153,90,7,2
Evo And Retro,Lb Burton,,2020,2021‑04‑05,180,26,31,-19,9,3,436,60,4,1
Lost Transmission,Dan Larkin,,2019,2021‑04‑05,95,36,19,-14,11,3,77,96,3,1
Kiln,Rex Kalibur,,2020,2021‑04‑05,130,52,59,-7,10,4,214,91,4,1
Night Out,Neon Gray,,2021,2021‑04‑05,86,40,13,-15,11,4,71,78,4,1
Weekend Video Game Rental Sleepover (1992),Kilometre Club,,2021,2021‑04‑05,100,48,23,-13,10,4,130,57,3,1
Cosmic Spirit Voyage,Sunbeam42,,2021,2021‑04‑05,59,8,32,-26,12,4,186,98,6,1
Sonorous (Preamble),R.bou,,2021,2021‑04‑05,120,42,92,-15,24,88,124,99,7,1
White Light,Neon Gray,,2021,2021‑04‑06,111,39,21,-11,17,7,87,83,4,1
Blackout,Neon Gray,,2021,2021‑04‑06,99,45,38,-14,12,4,227,16,3,1
The 3rd Division,Angel Kunev,,2021,2021‑04‑09,130,41,59,-16,11,4,188,68,4,1
O Vento,Rustre,leipzig indie,2020,2021‑04‑09,87,16,12,-17,11,3,251,55,4,1
2021,Invadable Harmony,classify,2020,2021‑03‑22,72,21,24,-23,9,18,127,92,4,0
Winter Palace,Luxgaze,,2021,2021‑04‑05,195,20,6,-21,12,3,76,0,4,0
Wrath,Luxgaze,,2021,2021‑04‑05,36,20,7,-17,10,4,146,28,4,0
Children of the Cosmos,Ellen Replay,cyberpunk,2016,2021‑04‑05,129,25,27,-20,12,19,116,98,4,0
Cryosleep,Ellen Replay,cyberpunk,2016,2021‑04‑05,71,54,25,-18,12,23,196,86,4,0
Glitters in the Dark,FacexHugger,darksynth,2017,2021‑04‑05,150,44,56,-15,17,65,147,68,4,0
Essaitchohnine,Glassmasterer,edinburgh indie,2020,2021‑04‑08,78,23,18,-19,10,3,112,72,4,0
New Materials,Hidden Blindness,,2021,2021‑04‑09,106,25,17,-17,11,4,218,89,4,0
Lullaby - Original Mix,Vorstell,,2021,2021‑04‑15,63,20,20,-14,11,4,160,66,4,0
Rêve Lucide,LÜNE,,2018,2019‑09‑02,149,56,36,-11,13,22,216,47,5,50
Nightshade,Hotel Pools,synthwave,2019,2021‑03‑13,184,54,61,-10,10,11,209,76,12,43
Decades,Skjalg A. Skagen,,2018,2021‑04‑05,176,82,42,-9,40,4,327,26,4,43
Orbit Love,Virtual Mage,,2021,2021‑03‑05,120,45,72,-12,9,32,252,1,4,41
Pictures of Purple Skies,Memorex Memories,,2019,2021‑04‑09,100,76,43,-13,7,12,386,80,3,41
96 Cruisin,Lucy In Disguise,synthwave,2018,2019‑09‑02,194,53,62,-9,11,38,205,30,5,40
Descend,Emil Rottmayer,vaporwave,2018,2019‑09‑02,110,67,73,-12,8,37,255,73,4,40
Euphoria,YOUTH 83,,2019,2019‑09‑02,100,51,27,-13,66,12,268,18,4,39
Magnetic,Eagle Eyed Tiger,,2019,2019‑09‑02,164,64,69,-10,11,35,310,21,11,38
U.F.O,Euan Ellis,,2019,2019‑09‑02,113,56,61,-11,13,17,272,0,3,38
Last Path,VIQ,,2020,2021‑04‑05,190,62,53,-11,12,4,243,4,6,38
Skyway,Cerulean,,2019,2020‑04‑18,103,48,74,-12,10,20,224,88,19,37
Sync,Voyage,spacewave,2020,2020‑12‑03,111,72,70,-8,9,16,319,78,5,37
Oneirataxia,Rhodes Rodosu,future funk,2020,2021‑04‑09,160,74,62,-8,11,36,227,55,5,36
Sunlight,Krosia,,2020,2020‑12‑03,95,81,71,-9,13,43,212,62,5,35
Better Days,admo,vaporwave,2019,2019‑09‑02,184,58,64,-8,9,33,236,16,7,35
In Motion,Memorex Memories,,2019,2021‑04‑05,200,43,50,-13,8,3,226,80,7,34
Existence Schematic,Com Truise,chillwave,2019,2020‑01‑07,172,82,55,-7,34,60,243,0,4,33
Level,Lucy In Disguise,synthwave,2021,2021‑04‑09,95,68,66,-10,13,7,248,23,4,32
Traffic,Foewi,,2019,2019‑09‑02,95,67,61,-14,9,34,198,44,4,32
Drifting,oDDling,,2020,2020‑12‑03,178,52,60,-13,23,23,191,31,10,31
Blueberry,Florida Skyline,,2019,2021‑04‑01,100,29,41,-15,12,12,286,24,4,31
Oxygen,Pong Man,,2019,2019‑09‑02,100,67,64,-12,6,53,271,41,4,29
Elevate,Emil Rottmayer,vaporwave,2020,2021‑03‑15,102,67,78,-12,10,45,230,46,7,29
Capricorn Woman,CTRL 94,,2020,2021‑01‑16,75,64,49,-11,18,41,159,56,3,28
Infinite,Jasper De Ceuster,,2020,2021‑03‑01,180,51,44,-14,11,23,283,58,3,28
Gently Pass,Stiig,,2019,2020‑04‑18,200,41,54,-17,11,18,216,48,10,28
Momentum,Zane Alexander,synthwave,2021,2021‑01‑14,103,92,60,-5,11,15,203,9,3,28
Neon Dreams,Xryo,,2021,2021‑04‑05,90,58,38,-11,12,4,209,2,5,28
Club Solace,Tonebox,dark clubbing,2020,2020‑12‑03,120,66,78,-11,11,60,393,14,4,27
Skysix,NiElsir,,2020,2021‑03‑15,107,54,70,-12,9,13,275,33,4,27
Pixels,Krosia,,2020,2021‑04‑05,104,76,45,-10,33,4,238,21,5,27
Atlantis,Downtown Binary,,2020,2021‑04‑05,200,61,43,-9,8,3,289,78,4,27
Blue Star,Zane Alexander,synthwave,2020,2020‑12‑03,101,71,43,-9,11,46,220,69,4,26
sunshine girl,A.L.I.S.O.N,vaporwave,2020,2021‑04‑05,80,46,41,-10,6,4,243,26,3,26
Vision,De Lorra,,2020,2021‑04‑01,106,27,76,-25,12,52,238,1,9,24
Sway,Freq18Hz,,2019,2021‑03‑01,92,93,63,-7,61,36,292,7,11,24
Consume,Unfound,,2020,2020‑12‑03,90,65,57,-8,11,26,267,12,3,24
Aperture,System96,,2020,2021‑03‑01,120,46,79,-11,12,21,261,2,4,24
Satin Ocean,Saint Seduce,,2020,2021‑03‑01,170,87,56,-7,43,87,166,50,6,23
Relayed,Diveus,,2020,2020‑04‑18,174,40,57,-15,10,48,258,95,37,23
Stargazing,Mezhdunami,spacewave,2020,2021‑03‑15,95,64,58,-10,9,12,120,0,6,23
Rubicon,BVSMV,,2021,2021‑03‑04,90,46,52,-15,8,13,278,0,3,22
Celestial,El Tigr3,dark clubbing,2021,2021‑03‑18,100,83,63,-11,13,8,264,52,4,22
A World of Iron Oxide,DavZ,,2020,2021‑04‑05,98,46,48,-10,9,4,393,42,3,22
Oblivion,Voyager,,2020,2020‑12‑03,102,66,73,-8,10,57,283,24,31,21
A Fleeting Moment,Fractal Man,,2019,2020‑12‑03,90,84,52,-9,11,42,332,0,5,21
Visions,oDDling,,2020,2021‑03‑15,140,49,66,-12,10,30,199,26,21,21
Destinations,Forhill,spacewave,2019,2020‑12‑20,176,56,71,-8,44,26,172,17,14,21
"Gleaming, Fading",Hello Meteor,synthwave,2020,2020‑12‑03,98,46,72,-10,9,12,326,45,7,21
Waking up at Sunset,Malibu Money,,2021,2021‑04‑06,120,87,62,-6,60,78,184,0,4,21
Everybody,morgan willis,synthwave,2020,2020‑11‑17,108,85,62,-7,8,75,247,10,4,20
Journey to a Nearby Star,andy shand,,2019,2019‑09‑02,102,67,68,-9,13,40,311,0,3,20
A New Horizon,Starfarer,spacewave,2021,2021‑02‑23,198,57,36,-11,11,21,279,1,3,20
Scarlet Lips,Stilz,spacewave,2020,2020‑12‑19,110,61,66,-10,9,14,340,27,3,20
Beyond the Sky,Two-Man Club,,2021,2021‑04‑05,118,52,56,-11,11,5,235,0,3,20
Soon Be There,Euan Ellis,,2021,2021‑04‑08,95,60,38,-13,62,45,270,3,3,20
VHS,Gage Baggs,,2021,2021‑03‑04,100,77,55,-10,7,46,226,8,4,19
Supergravity,Rosentwig,synthwave,2020,2021‑04‑05,115,51,58,-13,14,7,220,79,4,19
Square One,Kattch,,2019,2020‑04‑18,93,83,34,-7,30,51,258,0,7,18
Remember,Division Street,,2020,2021‑03‑01,105,67,78,-10,13,23,160,67,5,18
Cityscape Memories,Slandr,,2021,2021‑03‑19,107,83,64,-9,10,18,195,0,4,18
Awakening - Instrumental,Scandroid,cyberpunk,2021,2021‑04‑08,100,48,71,-8,11,32,216,12,4,18
Stun Runner,Awnings,,2020,2021‑01‑01,164,97,55,-8,11,65,213,5,3,16
Engage,Gemini Drive,,2020,2020‑12‑03,105,62,58,-10,10,64,233,0,3,14
Pylon,DreamStation1986,,2019,2020‑12‑03,100,56,65,-8,6,63,319,25,4,14
Draynor Manor,Indigo Waves,utah indie,2021,2021‑01‑08,90,55,48,-11,12,52,143,72,3,14
Cold Dream,IcoS,,2020,2021‑01‑05,160,49,43,-11,8,28,150,8,3,14
Horizon,The Neon Syndicate,,2020,2020‑11‑23,123,71,33,-9,13,41,232,43,4,13
Electrosex,Slvmber,synthwave,2019,2021‑03‑22,180,88,57,-6,37,56,228,1,4,12
Star Oasis,Volant,gaming edm,2019,2020‑12‑19,155,86,55,-6,56,48,243,2,13,12
avenue,will fm,lo-fi cover,2020,2021‑01‑30,146,48,73,-11,11,78,108,50,20,11
Phantom Gizmo,CRYSTAL,,2021,2021‑02‑11,124,70,66,-8,30,35,181,0,3,10
You Got It,Mayn,,2021,2021‑03‑07,95,71,57,-10,28,27,194,29,3,10
Wallflower,Rosentwig,synthwave,2020,2021‑01‑25,140,78,52,-10,14,17,221,21,3,10
Lunar,Shikimo,spacewave,2020,2021‑04‑05,100,88,42,-8,11,4,245,31,5,10
Credits,CTRL 94,,2020,2021‑04‑09,140,63,56,-8,9,39,227,7,3,10
Golden Age,Rogue VHS,,2021,2021‑04‑13,77,86,59,-5,9,18,309,0,4,10
Transwave,Game Genie Sokolov,,2021,2021‑03‑04,99,87,65,-8,34,59,217,1,3,9
Polywave,AURAGRAPH,,2020,2020‑12‑08,90,75,61,-13,13,25,280,39,4,9
Lovers in Time,Viperdrive,,2018,2021‑03‑22,105,87,68,-10,8,23,374,3,5,9
The Lingering,The Neon Syndicate,,2021,2021‑02‑19,93,42,56,-14,33,11,240,36,5,8
Conexion,Otrebor,,2020,2021‑04‑05,117,76,66,-7,10,5,222,20,4,8
Just to Feel Alive,Ezmiuski,,2020,2021‑03‑25,160,67,45,-11,50,30,274,7,25,7
Neon Nights,Cats Under Synthesizers,,2021,2021‑03‑25,158,55,59,-12,8,54,243,60,4,6
Anomaly,Q T Interval,,2021,2021‑03‑31,120,72,61,-8,8,47,180,68,3,6
Decoherence,Crockett,synthwave,2020,2021‑02‑25,100,60,40,-10,8,22,389,70,4,6
Cry,Gage Baggs,,2021,2021‑03‑04,90,46,56,-11,10,9,392,59,3,6
Nobody From Nowhere With Nothing,Chatterless,,2021,2021‑04‑13,90,71,64,-6,6,55,227,0,3,6
The Girl with a Seashell - Ionov Remix,Diskette,,2020,2021‑03‑16,105,59,74,-11,8,36,275,18,4,4
Moon,Cumulostratus,,2021,2021‑03‑15,178,44,51,-13,11,29,227,92,3,4
Electric Mirage,Peter Aries,,2020,2021‑04‑01,96,39,71,-14,7,13,210,55,5,4
Not Far From Home,Bowty3,,2021,2021‑02‑11,174,47,30,-16,9,11,411,32,7,4
Motion,Baldocaster,spacewave,2019,2020‑01‑22,180,69,50,-10,8,9,73,93,5,4
Goodbye Mr. President,Bit,,2021,2021‑03‑21,120,42,64,-11,14,78,224,16,3,3
Gravity,Lind,,2021,2021‑02‑27,98,67,54,-9,16,77,191,13,2,3
FRIDA,Shreddies,,2021,2021‑04‑05,127,64,63,-12,30,7,255,36,7,3
Le Soir,The New River Project,,2021,2021‑03‑10,110,62,59,-11,13,97,157,92,4,2
Dreams,SkelOne,cyberpunk,2021,2021‑02‑02,100,63,51,-9,19,36,202,0,3,2
First Cup of Coffee,trash_pixel,,2021,2021‑04‑01,125,26,61,-24,83,33,215,65,4,2
Sunset Echo Chamber,Eon Edge,,2021,2021‑04‑01,100,31,60,-13,11,23,272,78,3,2
Prophets,Von Trax,,2021,2021‑04‑09,99,68,49,-7,10,23,216,2,3,2
Chrysalis,Contact Lens,,2021,2021‑03‑16,176,98,70,-10,11,90,98,50,4,1
n!ght storm,Gr!nge,,2021,2021‑04‑05,180,46,58,-19,12,32,219,3,7,1
Starcourt Memories,Laps,,2020,2021‑04‑01,80,36,58,-10,7,17,223,7,3,1
9am in Wisconsin,Nobiwon,,2021,2021‑04‑01,180,26,68,-18,4,14,155,54,13,1
Reflections,Ogster,,2021,2021‑04‑01,100,32,75,-16,55,11,175,10,7,1
Leap of Faith,Bryce Terry,,2020,2021‑01‑12,136,83,48,-13,10,7,267,2,4,1
Great Good Fine - Revisited,Mskra,synthwave brasileiro,2020,2021‑04‑06,90,86,24,-7,18,12,222,0,5,1
Videogame Heaven,Contact Lens,,2020,2021‑03‑14,160,71,83,-8,16,88,120,7,8,0
Driving Through Time,Saros-FM,,2018,2021‑02‑11,100,69,49,-12,11,52,135,82,3,0
New Lands,Ogster,,2020,2021‑04‑01,100,40,83,-15,12,47,173,1,5,0
Over Nothing,Man with Roses,,2018,2021‑03‑05,160,73,58,-8,9,45,261,63,3,0
Wandering Stars,Amadeus Vegas,,2019,2020‑12‑08,92,76,45,-11,10,42,236,44,4,0
The Discovery,DOOMROAR,spacewave,2019,2021‑04‑01,93,35,61,-16,7,41,243,21,4,0
Moving To Panacea PAP Station,EugenyH,,2021,2021‑02‑23,160,54,46,-11,11,36,217,61,3,0
Urban Decay,ＪＰＪ,,2018,2019‑09‑02,105,77,57,-11,6,32,174,9,12,0
Highway 407 to Vaughan Metropolitan Centre,Kilometre Club,,2021,2021‑04‑01,130,30,38,-20,9,21,168,64,5,0
In Retrograde,Amadeus Vegas,,2021,2021‑01‑16,104,81,42,-7,23,16,284,1,5,0
Connection,Life Patterns,,2021,2021‑04‑01,120,39,37,-13,11,12,281,80,3,0
Memory Limit,Man with Roses,,2021,2021‑04‑09,138,66,53,-8,12,24,352,37,3,0
Blood Thirsty Times,Gage Baggs,,2021,2021‑04‑13,160,62,50,-12,57,47,223,1,4,0
Mercenary,F.O.O.L,complextro,2020,2020‑12‑19,103,78,68,-6,12,14,220,2,5,54
ERROR,KLOUD,bass trap,2019,2021‑03‑13,116,75,53,-6,13,9,240,1,5,49
"One Shot, One Kill",Varien,chillstep,2019,2021‑04‑15,100,80,65,-4,30,28,197,0,3,48
Netrunner,Lazerpunk,cyberpunk,2021,2021‑03‑07,100,93,63,-5,12,32,245,27,9,38
20202020,Unholy,dark clubbing,2020,2021‑04‑01,94,75,35,-9,13,3,317,3,5,37
dynamic recompilation - DEADLIFE Remix,The Algorithm,cyberpunk,2021,2021‑01‑16,100,71,56,-7,27,7,281,0,5,37
Alpha Prophecy,3FORCE,dark clubbing,2021,2021‑03‑25,110,98,45,-2,35,17,290,0,5,37
Katarina,NEUS,dark clubbing,2017,2021‑04‑15,105,73,81,-4,34,31,238,5,17,34
Night City,Austin Blau,,2020,2020‑12‑20,200,94,35,-6,11,18,243,4,11,34
Bad Sector,Signal Void,cyberpunk,2021,2021‑01‑28,134,86,56,-9,66,4,300,0,4,34
Machine Destiny,Rogue VHS,,2020,2021‑02‑15,199,81,20,-9,25,6,194,1,6,33
Cube Is Angry,Virtual Mage,,2021,2021‑02‑07,120,73,70,-13,12,16,186,13,6,33
Bass Lights,Trevr,,2021,2021‑04‑01,122,66,65,-10,63,9,236,30,7,33
Combat Zone,Vector Seven,dark clubbing,2019,2021‑04‑15,104,86,60,-7,33,8,208,1,9,32
Vector,Oscillian,cyberpunk,2020,2020‑12‑20,112,85,66,-6,18,22,199,0,3,32
Prismtek,DreamReaper,cyberpunk,2021,2021‑03‑10,123,88,62,-5,19,45,249,0,5,32
2077,Konrad Celinski,,2019,2021‑04‑15,192,97,43,-4,17,29,192,1,9,31
Killswitch,Justin OH,electro house,2020,2021‑04‑01,101,77,60,-4,12,11,203,0,4,31
Dreamer Archetype,Ace Buchannon,spacewave,2021,2021‑01‑20,128,83,50,-12,8,14,206,0,4,30
Flesh of Fallen Angels,Absolute Valentine,dark clubbing,2021,2021‑01‑25,140,94,53,-3,14,40,167,12,3,30
FUEL,Podhajski,,2021,2021‑02‑13,110,81,63,-10,7,49,243,4,5,30
Assault,Revizia,dark clubbing,2019,2021‑04‑15,105,95,59,-7,40,9,242,0,8,29
Defect,MAGNAVOLT,synthwave,2020,2021‑01‑10,100,78,63,-9,44,27,224,0,4,29
DELETE,KLOUD,bass trap,2020,2021‑02‑23,90,81,50,-6,17,4,133,2,3,28
Ex Materia,Macrowave,,2021,2021‑02‑09,105,77,72,-7,11,14,261,2,6,27
Midnight Gemini,Nightfall Heroes,dark clubbing,2021,2021‑03‑10,115,89,70,-5,14,26,175,2,6,27
Psyborg,Chaos Vector,,2020,2021‑03‑19,120,90,39,-6,28,22,328,0,4,26
I Thrive In Chaos,La Vie Sauvage,,2021,2021‑03‑26,106,53,61,-13,17,20,188,0,5,26
Override,DEADLIFE,dark clubbing,2019,2021‑04‑15,122,83,71,-6,27,20,321,1,6,24
Portals,HD-4884,dark clubbing,2021,2021‑04‑15,106,91,66,-3,14,23,207,2,10,24
Machine Spirit,ZITH,darksynth,2020,2020‑12‑21,105,96,64,-3,23,52,229,0,5,23
Silent City,One Dream,,2020,2021‑04‑05,75,35,40,-13,12,30,329,3,3,23
Degenerator,Mega Drive,cyberpunk,2020,2020‑12‑23,106,92,62,-7,28,32,303,0,6,23
Overload,Tonebox,dark clubbing,2019,2020‑12‑21,100,43,65,-11,13,9,326,17,3,22
Dharma,Daniel Deluxe,dark clubbing,2020,2021‑01‑10,118,83,62,-10,47,17,163,15,4,22
Bionic Within,Misanthropix,dark clubbing,2019,2021‑04‑15,123,93,53,-7,13,6,228,0,4,21
Human Evolution,Head Splitter,dark clubbing,2020,2020‑12‑21,110,95,50,-9,16,57,205,4,5,21
Dystopia,Macrowave,,2020,2021‑01‑12,105,82,61,-7,10,5,225,0,3,21
We All Shall Die,Garçons,dark clubbing,2021,2021‑01‑12,107,67,67,-12,11,7,255,0,4,21
Vortex,Gruber,,2021,2021‑01‑12,92,64,55,-11,27,4,220,0,3,21
Teleport,Retrology,,2020,2021‑01‑10,122,95,76,-3,18,13,258,8,4,20
Cyberion,Bestrack,filter house,2019,2020‑12‑21,100,73,47,-8,11,4,246,0,3,19
Nwwrld,Revizia,dark clubbing,2020,2021‑03‑15,105,70,66,-7,25,24,300,0,4,19
Inminent Corruption - Instrumental,VHS Glitch,cyberpunk,2019,2021‑04‑15,100,93,57,-6,10,17,202,0,3,18
Autorave,N O W A V E,dark clubbing,2021,2021‑02‑27,100,88,57,-7,41,6,267,0,4,18
Tetra Chord,Babywolf,,2020,2021‑01‑09,128,90,50,-8,39,37,161,0,4,17
Lonewolf,OIÜ,,2020,2021‑01‑10,180,78,55,-5,14,20,214,3,25,17
Orfeo,naked Swan.,,2020,2021‑04‑01,196,85,61,-4,22,58,176,39,9,17
Drowning,Hotcaller,,2021,2021‑04‑13,117,87,71,-5,7,16,281,0,5,17
Hardware,Street Cleaner,cyberpunk,2018,2021‑04‑15,103,85,53,-6,38,30,210,0,3,16
Feel Your Noise - Instrumental,Mechanical Vein,,2020,2021‑03‑07,115,78,63,-3,54,11,195,0,3,16
They Live,ΦΩΝΟΠΤΙΚΟΝ,,2020,2020‑12‑21,112,84,79,-6,7,70,398,0,4,15
Realm,Mariotravel209,,2021,2021‑04‑05,194,73,45,-12,11,20,291,4,4,15
Hideaway - Instrumental,The Anix,cyberpunk,2020,2021‑02‑23,145,93,50,-6,8,56,242,0,4,14
Fugitive,The Produca,,2021,2021‑02‑07,110,95,62,-5,27,24,183,0,5,14
7702,Infinite Rift,,2020,2021‑01‑10,186,67,42,-9,11,5,257,5,5,13
Rapture,HD-4884,,2020,2021‑01‑25,95,89,53,-5,22,13,231,0,6,12
Senshi,MAGNAVOLT,synthwave,2020,2021‑02‑07,95,68,65,-7,37,16,193,0,4,12
Nostromo,Baddon,synthwave brasileiro,2021,2021‑03‑31,120,92,36,-6,19,15,247,0,22,12
Machine Within,Lyde,dark clubbing,2019,2021‑04‑15,98,75,64,-6,10,12,261,7,4,11
Circuitry,Chris Keya,cyberpunk,2019,2021‑01‑10,200,88,47,-10,31,49,223,0,23,10
Cyberware,Vector Seven,dark clubbing,2020,2021‑01‑12,196,96,53,-5,11,49,191,10,6,10
Cyber Dream - Live 2020,Code Elektro,synthwave,2021,2021‑01‑05,120,60,53,-10,75,21,202,0,4,10
Euryale,Eightecs,,2021,2021‑02‑23,90,92,49,-4,9,52,224,0,4,10
Aether,Opsat,,2021,2021‑03‑16,118,88,71,-9,30,10,185,0,4,10
Elysium,Zeth3,synthwave brasileiro,2020,2021‑04‑06,98,48,59,-8,14,9,211,1,3,9
Data Transfer,Dwooswa,,2020,2020‑12‑21,102,56,59,-11,22,18,267,0,4,9
Phantom Anomaly,Grimoire,,2020,2020‑12‑30,107,91,57,-4,10,13,271,0,6,9
Error Machine,Toa5t,,2021,2021‑01‑09,110,84,57,-7,7,27,201,0,4,9
Deus,Retopia,,2021,2021‑04‑05,102,31,70,-17,8,45,184,3,7,9
Hazardous - Acryl madness remix,Cyberthing,dark clubbing,2021,2021‑02‑27,110,81,74,-6,13,31,226,0,7,8
The Age Of Rome,L'Empereur,,2021,2021‑02‑19,135,66,50,-13,13,15,283,0,3,8
Misplaced,Catatonique,,2021,2021‑02‑24,95,88,62,-5,13,28,189,0,4,8
Growl,Runaway Droid,,2021,2021‑03‑13,110,49,82,-11,16,34,211,5,6,8
Flutez,Chronic Mncher,,2021,2021‑03‑04,80,71,61,-1,13,57,181,5,4,8
Celestial Synthwave,Stuzii,,2021,2021‑03‑29,120,49,72,-11,10,40,148,0,3,8
Lethal,SO CALLED,,2021,2021‑04‑09,186,72,65,-3,10,8,253,0,10,8
Riftrunner,Nightfall Heroes,,2021,2021‑04‑09,110,92,58,-4,35,21,214,1,4,8
Hyperdrive,NightmareOwl,,2019,2021‑04‑15,120,74,42,-8,19,4,299,2,4,7
Blackwatch,Punker,,2020,2021‑04‑01,187,88,33,-6,13,4,281,0,8,7
Archer,Aim To Head,dark clubbing,2021,2021‑04‑05,110,42,65,-13,12,6,247,2,4,7
